Item Details,Amount,Quantity,Sale_Price,UPC_Code,Order_Type,Order_Date,Total_Savings,Original_Item_Total,Item_Coupons_Sales,Fulfillment_Fee,Sales_Tax,Order_Total,Item_Count,Payment_Amount
"Old El Pasoª Stand 'N Stuffª Taco Dinner Kit, 8.8 oz",4.29,1,$4.29 $4.99 each,4600028736,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Pepperidge Farm Soft White Hoagie Rolls with Sesame Seeds, 6 ct / 14.5 oz",4.29,1,$4.29 each,1410007141,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Prairie Legacy 92/8 Grass Fed Ground Beef, 1 lb",5.99,1,$5.99 each,1644720920,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Progressoª Rich & Hearty Chicken & Homestyle Noodle Canned Soup, 19 oz",7.47,3,$2.49 each (approx.),4119691401,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Red Baron¨ Classic Crust Pepperoni Frozen Pizza, 20.6 oz",9.98,2,$4.99 $5.29 each,7218063473,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Red Hothouse Bell Pepper, 1 ct",1.49,1,$1.49 each,4688,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Ruffles¨ Potato Chips Original Party Size, 13 oz",4.99,1,$4.99 $5.99 each,2840051773,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Sargento Natural Mozzarella Cheese Slices, 11 ct / 8 oz",3.5,1,$3.50 $3.99 each,4610000125,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Simple Truth Organicª Cranberry Apple Kombucha, 15.2 fl oz",3.98,2,$1.99 $2.99 each,1111003882,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Tyson¨ Fully Cooked and Breaded Southern Style Chicken Breast Tenderloins, 40 oz",14.99,1,$14.99 $16.39 each,2370002686,Pickup,1/16/23,14.54,135.44,-9.59,0,5.33,131.18,37,131.18
"Argo® Corn Starch, 16 oz",2.99,1,$2.99 ,76172007104,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Campbell's® Condensed Cream of Chicken Soup, 10.5 oz",1,1,$1.00 ,5100001031,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Celery, 1 ct",2.08,1.23 lbs,$2.56 ,4070,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Coca-Cola® Soda Cans, 12 pk / 12 fl oz",8.99,1,$8.99 ,4900002890,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Dr Pepper Soda Cans, 12 pk / 12 fl oz",9.99,1,$9.99 ,7800008216,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Fresh Cut Mixed Berries, 15 oz",10,1,$10.00 ,63912389472,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Fresh Cut Pineapple Chunks, 10 oz",3,1,$3.00 ,63912389426,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Fresh Medium Lemon - Each, 1 each",1,2,$2.00 ,4958,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Garlic, 1 ct",1.5,3,$4.50 ,4608,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Jumex Mango Nectar Juice, 11.3 fl oz",2.36,4,$2.76 ,7640602180,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"King Soopers™ City Market 1% Low Fat Milk, 1/2 gal",2.39,1,$2.39 ,1111050222,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger Garbanzo Beans Chickpeas, 15.5 oz",0.89,1,$0.89 ,1111012143,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® 90 Second Jasmine Rice Pouch, 8.8 oz",3,2,$3.18 ,1111001950,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Black Beans, 15.5 oz",0.89,1,$0.89 ,1111012114,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Burrito Size Flour Tortillas, 8 ct / 20 oz",2.29,1,$2.29 ,1111005266,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Club Soda Bottles, 1 liter",4,4,$4.00 ,1111049345,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Colby Jack Cheese Slices, 8 ct / 6 oz",2.49,1,$2.49 ,1111058287,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® No Sugar Added 100% Pineapple Juice, 64 fl oz",5.49,1,$5.49 ,1111082107,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Original Caffeine Free Seltzer Water Cans, 12 pk / 12 fl oz",3.99,1,$3.99 ,1111000675,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Original Cream Cheese, 8 oz",2.19,1,$2.19 ,1111089202,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Petite Diced Tomatoes in Tomato Juice, 14.5 oz",1,1,$1.00 ,1111081018,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Real Bacon Bits, 3 oz",2.69,1,$2.69 ,1111080006,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Sea Salt Dry Roasted Sunflower Kernels, 7.25 oz",2.99,1,$2.99 ,1111081935,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Taco Seasoning Packets, 4 ct / 1.25 oz",4.38,2,$4.38 ,1111002823,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Kroger® Zesty Italian Salad Dressing & Marinade Mix Packet, 0.6 oz",0.79,1,$0.79 ,1111073544,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Large Limes, 1 ct",0.59,1,$0.59 ,4048,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Mission Street Taco Flour Tortillas, 12 ct / 11oz",2.99,1,$2.99 ,7373107151,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Ocean Spray Cranberry 100% Juice, 64 fl oz",4.99,1,$4.99 ,3120003469,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"On the House Grenadine Syrup, 25 fl oz",4.79,1,$4.79 ,1111081683,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Oroweat Whole Grains 100% Whole Wheat Sandwich Bread, 24 oz",5.29,1,$5.29 ,7313000132,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Oscar Mayer Deli Fresh Oven Roasted Deli Turkey Breast Sliced Lunch Meat, 9 oz",4.99,1,$5.79 ,4470003050,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Pace Chunky Salsa Medium, 16 oz",3.49,1,$3.79 ,4156514116,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Private Selection™ Petite Medley Gourmet Potatoes, 1.5 lb",3.99,1,$3.99 ,1111079545,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Private Selection™ Rosemary Leaves, 0.82 oz",4.69,1,$4.69 ,1111074484,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Private Selection™ Thyme Leaves, 0.78 oz",4.29,1,$4.29 ,1111072970,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Progresso Rich & Hearty Chicken & Homestyle Noodle Soup, 19 oz",4.96,4,$9.96 ,4119691401,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Puffs Ultra Soft Family Facial Tissues, 4 pk / 124 ct",7.99,1,$9.99 ,3700058595,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Romaine Lettuce, 1 ct",2.29,1,$2.29 ,4640,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Rose's Cane Sugar Peach Syrup, 12 fl oz",4.49,1,$4.49 ,1660000192,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Russet Potato, 1 lb",1.66,1.68 lbs,$2.02 ,4072,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Simple Truth Organic® Baby Carrots Bag, 1 lb",1.79,1,$1.79 ,1111091659,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Simple Truth Organic® Frozen Whole Kernel Supersweet Corn, 12 oz",1.99,1,$1.99 ,1111003556,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Simple Truth Organic® Gluten Free Low Sodium Vegetable Broth, 32 oz",1.49,1,$2.19 ,1111008602,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Simple Truth Organic® Whole Carrots Bag, 32 oz",2.99,1,$2.99 ,1111091657,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Simple Truth Organic™ Mint, 1 ct",2.49,1,$2.49 ,1111001818,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Simple Truth Organic™ Original Coconut Bottled Water, 16.9 fl oz",1.29,1,$1.99 ,1111085486,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Simple Truth™ Natural Cage Free Large Brown Eggs, 12 ct",3.49,1,$3.49 ,1111079769,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Sweet Potato, 1 lb",2,1.34 lbs,$2.65 ,4816,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Tropicana® Pure Premium Original No Pulp Orange Juice, 52 fl oz",4.69,1,$4.69 ,4850020274,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"White Onions, 1 ct",0.65,0.55 lbs,$0.65 ,4663,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
"Zucchini, 1 lb",1.16,0.65 lbs,$1.16 ,4067,Pickup,1/12/23,11.58,179.48,11.58,0,8.49,176.39,65,176.39
